field_name,alias,field_type,data_type,display_type,default_value,mandatory,description,title,field_notation,fields,internal_only,category,sequence,hidden,editable,meta
fac_operations,,compound,compound,card,,,,,,,,,10,,,
fac_httpurl,,simple,HTTPURL,textbox,,,,,,,,,10,,,
fac_phone,,simple,PHONE,textbox,,,,,,,,,10,,,
fac_hidden,,simple,str,hidden,,,,,,,,,10,,,
fac_file,,simple,FILE,fileoption,,,,,,,,,10,,,
fac_file_pdf,,simple,FILE,fileoption,,,,,,,,,10,,,
fac_file_video,,simple,FILE,fileoption,,,,,,,,,10,,,
fac_date,,simple,datetime.date,datebox,,,,,,,,,10,,,
fac_filecapture,,simple,FILE,vidcapture,,,,,,,,,10,,,
fac_geoloc,,simple,str,geoloc,,,,,,,,,10,,,
fac_email,,simple,EMAIL,textbox,,,,,,,,,10,,,
fac_imgcapture,,simple,FILE,imgcapture,,,,,,,,,10,,,
fac_liveness,,simple,list:str,liveness.readout,,,,,,,,,10,,,
