field_name,alias,field_type,data_type,display_type,default_value,mandatory,description,title,field_notation,category,fields,internal_only,sequence,hidden,editable,meta
digi_locker_aadhaar,,simple,str,display_field,,FALSE,Login to DigiLocker,DigiLocker Login,API.TRUSTED_DIGILOCKER,OVD DigiLocker Aadhaar,,FALSE,2000,,,
aadhaar_uid,,simple,str,textbox,@.digi_locker_aadhaar.TRUSTED_DIGILOCKER.uid,FALSE,Enter UID as in Aadhaar,UID,FLD.AADHAAR.uid,OVD DigiLocker Aadhaar,,FALSE,2000,,,
aadhaar_dob,,simple,datetime.date,datebox,@.digi_locker_aadhaar.TRUSTED_DIGILOCKER.dob,FALSE,Enter Date of Birth as in Aadhaar,Date of Birth as in Aadhaar,FLD.AADHAAR.dob,OVD DigiLocker Aadhaar,,FALSE,2000,,,
aadhaar_gender,,simple,GENDER,dropdown,@.digi_locker_aadhaar.TRUSTED_DIGILOCKER.gender,FALSE,Enter Gender as in Aadhaar,Gender as in Aadhaar,FLD.AADHAAR.gender,OVD DigiLocker Aadhaar,,FALSE,2000,,,
aadhaar_name,,simple,str,textbox,@.digi_locker_aadhaar.TRUSTED_DIGILOCKER.name,FALSE,Enter Name as in Aadhaar,Name as in Aadhaar,FLD.AADHAAR.name,OVD DigiLocker Aadhaar,,FALSE,2000,,,
aadhaar_care_of,,simple,str,textbox,@.digi_locker_aadhaar.TRUSTED_DIGILOCKER.care_of,FALSE,Enter Care of as in Aadhaar,Care of as in Aadhaar,FLD.AADHAAR.care_of,OVD DigiLocker Aadhaar,,FALSE,2000,,,
aadhaar_country,,simple,str,textbox,@.digi_locker_aadhaar.TRUSTED_DIGILOCKER.country,FALSE,Enter Country as in Aadhaar,Country as in Aadhaar,FLD.AADHAAR.country,OVD DigiLocker Aadhaar,,FALSE,2000,,,
aadhaar_dist,,simple,str,textbox,@.digi_locker_aadhaar.TRUSTED_DIGILOCKER.dist,FALSE,Enter District as in Aadhaar,District as in Aadhaar,FLD.AADHAAR.dist,OVD DigiLocker Aadhaar,,FALSE,2000,,,
aadhaar_house,,simple,str,textbox,@.digi_locker_aadhaar.TRUSTED_DIGILOCKER.house,FALSE,Enter House as in Aadhaar,House as in Aadhaar,FLD.AADHAAR.house,OVD DigiLocker Aadhaar,,FALSE,2000,,,
aadhaar_location,,simple,str,textbox,@.digi_locker_aadhaar.TRUSTED_DIGILOCKER.location,FALSE,Enter Location as in Aadhaar,Location as in Aadhaar,FLD.AADHAAR.location,OVD DigiLocker Aadhaar,,FALSE,2000,,,
