field_name,alias,field_type,data_type,display_type,default_value,mandatory,description,title,field_notation,fields,internal_only,category,sequence,hidden,editable,meta
text50,,simple,TEXT50,textbox,,FALSE,Any text with maximum 50 characters,Short Text Box,,,FALSE,GENERIC,1400,,,
text500,,simple,TEXT500,textbox.row-8,,FALSE,Any text with maximum 500 characters,Long Text Box,,,FALSE,GENERIC,1401,,,
date_of_birth,,simple,datetime.date,datebox,,FALSE,Birth Date of the person,Date of Birth,dob,,FALSE,PERSONAL INFORMATION,1003,,,
age,,simple,int,textbox,,FALSE,Age of the individual,Age,age,,FALSE,PERSONAL INFORMATION,1004,,,
gender,,simple,GENDER,radiobutton,,FALSE,Gender of the individual,Gender,gender,,FALSE,PERSONAL INFORMATION,1005,,,
bloodgroup,,simple,BLOODGROUP,dropdown,,FALSE,Blood group of the individual,Blood Group,bloodgroup,,FALSE,PERSONAL INFORMATION,1006,,,
maritalstatus,,simple,MARITALSTATUS,dropdown,,FALSE,Marital Status of the individual,Marital Status,maritalstatus,,FALSE,PERSONAL INFORMATION,1007,,,
title,,simple,SALUTATION,dropdown,,FALSE,Salutation. How the person would like to be addressed,Title,title,,TRUE,PERSONAL INFORMATION,1010,,,
languages,,simple,list:LANGUAGE,dropdown,,FALSE,List of relevant languages. This field can be extended for multiple purposes,Languages,spoken_lang,,TRUE,PERSONAL INFORMATION,1012,,,
httpurl,,simple,HTTPURL,textbox,,FALSE,Any valid HTTP URL,Random URL,random_url,,TRUE,PERSONAL INFORMATION,1016,,,
date,,simple,datetime.date,datebox,,FALSE,Any date containing YYYY MM DD,Date,date,,FALSE,PERSONAL INFORMATION,1017,,,
mobile,,simple,PHONE,textbox,,FALSE,Mobile number of the applicant,Mobile Number,mobile,,FALSE,COMMUNICATION,1100,,,
email_id,,simple,EMAIL,textbox,,FALSE,A valid e-mail address of the participant,Email Address,email_id,,FALSE,COMMUNICATION,1102,,,
address_1,,simple,str,textbox,,FALSE,"House/apt #, street",Address Line 1,address_1,,FALSE,COMMUNICATION,1103,,,
address_2,,simple,str,textbox,,FALSE,"locality, Area",Address Line 2,address_2,,FALSE,COMMUNICATION,1104,,,
city,,simple,str,textbox,,FALSE,City,City,city,,FALSE,COMMUNICATION,1105,,,
country,,simple,str,textbox,,FALSE,Country,Country,country,,FALSE,COMMUNICATION,1107,,,
PIN,,simple,PINCODE,textbox,,FALSE,Postal Index Number,PIN code,pin,,FALSE,COMMUNICATION,1108,,,
pan,,simple,PAN,textbox,,FALSE,PAN of the individual or organization,PAN number,pan,,FALSE,IDENTIFICATION,1201,,,
number,,simple,int,textbox,,FALSE,Any number,Number,number,,FALSE,CUSTOM FIELDS,1402,,,
single_choice_1,,simple,GENERIC_CHOICE,dropdown,,FALSE,Any form specific single choice field,Single Choice,single_choice,,FALSE,CUSTOM FIELDS,1403,,,
multiple_choice,,simple,list:GENERIC_CHOICE,checkbox,,FALSE,Any form specific multiple choice field,Multiple Choice,multiple_choice,,FALSE,CUSTOM FIELDS,1404,,,
gst,,simple,GST,textbox,,FALSE,GSTIN of the individual or organization,GSTIN,gst,,TRUE,ORG_INFO,1503,,,
