field_name,alias,field_type,data_type,display_type,default_value,mandatory,description,title,field_notation,category,fields,internal_only,sequence,hidden,editable,meta,
dl_name,,simple,str,textbox,@.ovd.TRUSTED_OVD.name,FALSE,Enter Name as in ID Card,Name as in ID Card,,OVD Driving License,,FALSE,2100,,,,
dl_gender,,simple,GENDER,dropdown,@.ovd.TRUSTED_OVD.gender,FALSE,Enter Gender,Gender,,OVD Driving License,,FALSE,2100,,,,
dl_id_number,,simple,str,textbox,@.ovd.TRUSTED_OVD.uid,FALSE,Enter Aadhaar Number,ID Number,,OVD Driving License,,FALSE,2100,,,,
dl_permanent_address,,simple,str,textbox.row-4,@.ovd.TRUSTED_OVD.full_address,FALSE,Enter Permanent Address,Permanent Address,,OVD Driving License,,FALSE,2100,,,,
dl_temporary_address,,simple,str,textbox,@.ovd.TRUSTED_OVD.temporary_address,FALSE,Enter Temporary address,Temporary address as in DL,,OVD Driving License,,FALSE,2100,,,,
dl_father_or_husband_name,,simple,str,textbox,@.ovd.TRUSTED_OVD.father_or_husband_name,FALSE,Enter Father or husband name,Father or husband name as in DL,,OVD Driving License,,FALSE,2100,,,,
dl_dob,,simple,datetime.date,datebox,@.ovd.TRUSTED_OVD.dob,FALSE,Enter Date of Birth as in DL,Date of birth as DL,,OVD Driving License,,False,2100,,,,
dl_doe,,simple,datetime.date,datebox,@.ovd.TRUSTED_OVD.doe,FALSE,Enter Date of expiry as in DL,Date of expiry as in DL,,OVD Driving License,,FALSE,2100,,,,
dl_transport_doe,,simple,datetime.date,datebox,@.ovd.TRUSTED_OVD.transport_doe,FALSE,Enter Date of transport expiry as in DL,Date of transport expiry as in DL,,OVD Driving License,,FALSE,2100,,,,
dl_doi,,simple,datetime.date,datebox,@.ovd.TRUSTED_OVD.doi,FALSE,Enter Date of issue as in DL,Date of issue as in DL,,OVD Driving License,,FALSE,2100,,,,
dl_transport_doi,,simple,datetime.date,datebox,@.ovd.TRUSTED_OVD.transport_doi,FALSE,Enter Date of transport issue as in DL,Date of transport issue as in DL,,OVD Driving License,,FALSE,2100,,,,
dl_temporary_zip,,simple,str,textbox,@.ovd.TRUSTED_OVD.temporary_zip,FALSE,Enter Temporary zip,Temporary zip as in DL,,OVD Driving License,,FALSE,2100,,,,
dl_permanent_address,,simple,str,textbox,@.ovd.TRUSTED_OVD.permanent_address,FALSE,Enter Permanent address,Permanent address as in DL,,OVD Driving License,,FALSE,2100,,,,
dl_citizenship,,simple,str,textbox,@.ovd.TRUSTED_OVD.citizenship,FALSE,Enter Citizenship,Citizenship as in DL,,OVD Driving License,,FALSE,2100,,,,
dl_permanent_zip,,simple,str,textbox,@.ovd.TRUSTED_OVD.permanent_zip,FALSE,Enter Permanent zip,Permanent zip as in DL,,OVD Driving License,,FALSE,2100,,,,
dl_license_number,,simple,str,textbox,@.ovd.TRUSTED_OVD.license_number,FALSE,Enter License number,License number as in DL,,OVD Driving License,,FALSE,2100,,,,
dl_ola_name,,simple,str,textbox,@.ovd.TRUSTED_OVD.ola_name,FALSE,Enter Ola name,Ola name as in DL,,OVD Driving License,,FALSE,2100,,,,
dl_ola_code,,simple,str,textbox,@.ovd.TRUSTED_OVD.ola_code,FALSE,Enter Ola code,Ola code as in DL,,OVD Driving License,,FALSE,2100,,,,
passport_name,,simple,str,textbox,@.ovd.TRUSTED_OVD.name,FALSE,Enter Name as in ID Card,Name as in ID Card,,OVD Passport,,FALSE,2100,,,,
passport_gender,,simple,GENDER,dropdown,@.ovd.TRUSTED_OVD.gender,FALSE,Enter Gender,Gender,,OVD Passport,,FALSE,2100,,,,
