order,Name of the Document,Upload Field Attribute,Type of Visa,Is this Field Repeatable?,Default Placeholder Name
1,Instruction_sheet,consultant_info.instruction_letter.upload_instruction,,No,
2,Visa_Appointment,appointment.appointment_scheduled.upload_appointment,,No,
3,Passport_front,passport.passport_details.ovd_front,,No,
4,Passport_back,passport.passport_details.ovd_back,,No,
5,Passport-Sized Photo,photograph.passport_photo.photo,,No,
6,Previous_Visa,previous_visas.previous_visas_details.previous_visa_copy,,No,
7,Non-Schengen Visa,additional_details.travel_info.visa_copy,,No,
8,application_doc,consultant_info.application_form_embassy.application_form,,No,
9,Cover_Letter,cover_letter_info.covering_letter_card.cover_upload,Business,No,
10,Invitation_Letter,invitation.invitation_letter_upload.invite_upload,Business,No,
11,Itinerary,itinerary_accomodation.itinerary_card.upload_itinerary,,No,
12,Address_Proof,residential_address.residential_address_card_v1.address_proof_upload,,No,
13,Foreign_Address_Proof,residential_address.resident_in_other_country.address_proof,,No,
14,Flight_Tickets,ticketing.flight_tickets.flight_tickets,,No,
15,Accommodation,accomodation.booked_appointment.booking_upload,,No,
16,Travel_Insurance,travel_insurance.flight_reservation_details.flight_reservation_tickets,,No,
17,Salary_Slips,salary_slip.upload.salary_slip,,No,
18,Bank_Statements,bank_statement.upload.bank_statements,,No,
19,Company_Bank_Statement,company_bank_statement.statements_card.statement_file,Business,No,
20,Company_Incorporation_Certificate,company_docs.incorporation_docs.statement_file,Business,No,
21,Company_ITR_Document,company_itr.itr_doc.statement_file,Business,No,
22,ITR_Document,itr_acknowledgement.upload.itr_acknowledgement,,No,
23,Inviter_Passport,accomodation.invitation_details.passport_bio_page,,No,
24,Inviter_Visa,accomodation.invitation_details.visa_copy_permit,,No,
25,Inviter_Accommodation,accomodation.invitation_details.accommodation_proof,,No,
26,Aadhaar_front,additional_details.national_id.aadhaar_upload_front,,No,
27,Aadhaar_back,additional_details.national_id.aadhaar_upload_back,,No,
28,Additional_Doc,additional_documents_pane.additional_documents_card_consultant.file_upload,,yes,Additional_Doc{index:02d}
29,Additional_Doc,additional_documents_pane.additional_documents_card_traveller.file_upload,,yes,Additional_Doc{index:02d}
30,Additional_Doc,employer_additional_docs.additional_documents_card.file_upload,,yes,Additional_Doc{index:02d}
31,Additional_Doc,consultant_info.additional_documents_card.file_upload,,yes,Additional_Doc{index:02d}
