order,Name of the Document,Upload Field Attribute,Type of Visa,Is this Field Repeatable?,Default Placeholder Name
1,Instruction_sheet,consultant_info.instruction_letter.upload_instruction,,No,
2,Visa_Appointment,appointment.appointment_scheduled.upload_appointment,,No,
3,Passport_front,passport.passport_details.ovd_front,,No,
4,Passport_back,passport.passport_details.ovd_back,,No,
5,Previous_Visa,previous_visas.previous_visas_details.previous_visa_copy,,No,
6,Non-Schengen Visa,additional_details.travel_info.visa_copy,,No,
7,application_doc,**FILLED_APPLICATION_DOC**,,No,
8,Cover_Letter,cover_letter_info.covering_letter_card.cover_upload,Business,No,
9,Invitation_Letter,invitation.invitation_letter_upload.invite_upload,Business,No,
10,Itinerary,itinerary_accomodation.itinerary_card.upload_itinerary,,No,
11,Address_Proof,residential_address.residential_address_card_v1.address_proof_upload,,No,
12,Foreign_Address_Proof,residential_address.resident_in_other_country.address_proof,,No,
13,Flight_Tickets,ticketing.flight_tickets.flight_tickets,,No,
14,Accommodation,accomodation.booked_appointment.booking_upload,,No,
15,Salary_Slips,salary_slip.upload.salary_slip,,No,
16,Bank_Statements,bank_statement.upload.bank_statements,,No,
17,Company_Bank_Statement,company_bank_statement.statements_card.statement_file,Business,No,
18,Company_Incorporation_Certificate,company_docs.incorporation_docs.statement_file,Business,No,
19,Company_ITR_Document,company_itr.itr_doc.statement_file,Business,No,
20,ITR_Document,itr_acknowledgement.upload.itr_acknowledgement,,No,
21,Guarantor_Passport Bio page,accomodation.guarantor_details.guarantor_inviter_passport_front,,No,
22,Guarantor_Passport back page,accomodation.guarantor_details.guarantor_inviter_passport_back,,No,
23,Guarantor_visa copy,accomodation.guarantor_details.guarantor_inviter_japan_visa_copy,,No,
24,Guarantor_visa copy/Resident Permit,accomodation.guarantor_details.guarantor_inviter_visa_copy_permit,,No,
25,Guarantor_Relationship proof,accomodation.guarantor_details.guarantor_inviter_proof_of_relationship,,No,
26,Guarantor_Jyuhmin hyo Certificate,accomodation.guarantor_details.guarantor_inviter_jyuhmin_certificate,,No,
27,Guarantor_Certificate of employment with designation ,accomodation.guarantor_details.guarantor_inviter_employment_certificate,,No,
28,Inviter_Passport,accomodation.invitation_details.passport_bio_page,,No,
29,Inviter_Visa,accomodation.invitation_details.visa_copy_permit,,No,
30,Inviter_Accommodation,accomodation.invitation_details.accommodation_proof,,No,
31,Inviter_Relationship Proof,accomodation.invitation_details.inviter_proof_of_relationship,,No,
32,Inviter_Jyuhmin hyo Certificate,accomodation.invitation_details.inviter_jyuhmin_certificate,,No,
33,Inviter - Certificate of Employment,accomodation.invitation_details.inviter_employment_certificate,,No,
34,Aadhaar_front,additional_details.national_id.aadhaar_upload_front,,No,
35,Aadhaar_back,additional_details.national_id.aadhaar_upload_back,,No,
36,Additional_Doc,additional_documents_pane.additional_documents_traveller_group,,yes,Additional_Doc{index:02d}
37,Additional_Doc,employer_additional_docs.additional_documents_card.file_upload,,yes,Additional_Doc{index:02d}
38,Additional_Doc,consultant_info.additional_documents_card.file_upload,,yes,Additional_Doc{index:02d}
